day,pred_total_cost,true_total_cost,regret_cost,pred_transport_cost,true_transport_cost,pred_stockout_cost,true_stockout_cost,pred_total_stockout,true_total_stockout,stockout_gap,pred_status,true_status
150,1013.6818213653158,1042.6736808670128,-28.991859501696922,1013.6818213653158,1042.6736808670128,0.0,0.0,0.0,0.0,0.0,Optimal,Optimal
151,961.3537301361106,1019.7435781851507,-58.3898480490401,961.3537301361106,1019.7435781851507,0.0,0.0,0.0,0.0,0.0,Optimal,Optimal
152,989.3989329280242,1090.331593104472,-100.93266017644771,989.3989329280242,1090.331593104472,0.0,0.0,0.0,0.0,0.0,Optimal,Optimal
153,992.7669257281258,1112.7878958504277,-120.02097012230195,992.7669257281258,1112.7878958504277,0.0,0.0,0.0,0.0,0.0,Optimal,Optimal
154,1022.8188402508969,1210.859504892299,-188.04066464140203,1022.8188402508969,1210.859504892299,0.0,0.0,0.0,0.0,0.0,Optimal,Optimal
155,1054.2615437250274,1188.1581266992778,-133.89658297425035,1054.2615437250274,1188.1581266992778,0.0,0.0,0.0,0.0,0.0,Optimal,Optimal
156,985.1094756945505,1126.3510487009914,-141.24157300644094,985.1094756945505,1126.3510487009914,0.0,0.0,0.0,0.0,0.0,Optimal,Optimal
157,961.3537301361106,1131.6201344902397,-170.26640435412912,961.3537301361106,1131.6201344902397,0.0,0.0,0.0,0.0,0.0,Optimal,Optimal
158,961.3537301361106,1169.551085964929,-208.19735582881833,961.3537301361106,1169.551085964929,0.0,0.0,0.0,0.0,0.0,Optimal,Optimal
159,961.3537301361106,1165.9448102065894,-204.59108007047882,961.3537301361106,1165.9448102065894,0.0,0.0,0.0,0.0,0.0,Optimal,Optimal
160,1048.8807686947202,1226.630447995092,-177.74967930037178,1048.8807686947202,1226.630447995092,0.0,0.0,0.0,0.0,0.0,Optimal,Optimal
161,978.5027239526289,1171.7346306423472,-193.23190668971824,978.5027239526289,1171.7346306423472,0.0,0.0,0.0,0.0,0.0,Optimal,Optimal
162,982.748634567459,1108.13821295884,-125.38957839138106,982.748634567459,1108.13821295884,0.0,0.0,0.0,0.0,0.0,Optimal,Optimal
163,951.7339635807404,1062.3697640233263,-110.63580044258595,951.7339635807404,1062.3697640233263,0.0,0.0,0.0,0.0,0.0,Optimal,Optimal
164,951.7339635807404,933.7873324154376,17.946631165302733,951.7339635807404,933.7873324154376,0.0,0.0,0.0,0.0,0.0,Optimal,Optimal
165,983.1471591727556,995.9145156776857,-12.767356504930149,983.1471591727556,995.9145156776857,0.0,0.0,0.0,0.0,0.0,Optimal,Optimal
166,951.7339635807404,899.052972846854,52.68099073388635,951.7339635807404,899.052972846854,0.0,0.0,0.0,0.0,0.0,Optimal,Optimal
167,994.255884516434,944.6387044912715,49.6171800251625,994.255884516434,944.6387044912715,0.0,0.0,0.0,0.0,0.0,Optimal,Optimal
168,952.2231605220438,887.9273858841045,64.2957746379393,952.2231605220438,887.9273858841045,0.0,0.0,0.0,0.0,0.0,Optimal,Optimal
169,948.3483634581527,909.0374401281567,39.310923329995944,948.3483634581527,909.0374401281567,0.0,0.0,0.0,0.0,0.0,Optimal,Optimal
170,976.3935662500663,868.671010796435,107.72255545363134,976.3935662500663,868.671010796435,0.0,0.0,0.0,0.0,0.0,Optimal,Optimal
171,1007.6604360700837,918.3970532704262,89.2633827996575,1007.6604360700837,918.3970532704262,0.0,0.0,0.0,0.0,0.0,Optimal,Optimal
172,995.3964380185834,891.9651264506241,103.43131156795926,995.3964380185834,891.9651264506241,0.0,0.0,0.0,0.0,0.0,Optimal,Optimal
173,982.6173041039874,793.3758125408019,189.2414915631855,982.6173041039874,793.3758125408019,0.0,0.0,0.0,0.0,0.0,Optimal,Optimal
174,1012.291044896136,849.6895812733743,162.60146362276168,1012.291044896136,849.6895812733743,0.0,0.0,0.0,0.0,0.0,Optimal,Optimal
175,991.6095496377477,882.0530468089838,109.55650282876388,991.6095496377477,882.0530468089838,0.0,0.0,0.0,0.0,0.0,Optimal,Optimal
176,995.0186035829025,895.21276508937,99.80583849353252,995.0186035829025,895.21276508937,0.0,0.0,0.0,0.0,0.0,Optimal,Optimal
177,948.3483634581527,870.3553997388159,77.99296371933679,948.3483634581527,870.3553997388159,0.0,0.0,0.0,0.0,0.0,Optimal,Optimal
178,982.6173041039874,950.2256110569043,32.391693047083095,982.6173041039874,950.2256110569043,0.0,0.0,0.0,0.0,0.0,Optimal,Optimal
179,948.3483634581527,934.8206860993906,13.527677358762048,948.3483634581527,934.8206860993906,0.0,0.0,0.0,0.0,0.0,Optimal,Optimal
